Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92201;2209;2;7159;333;227;128;176;66;38;63;112;39;827;5150;20110101
AT1;AT13;AT130;92201;2210;2;3255;77;51;60;75;31;32;37;36;24;498;2334;20110101
AT1;AT13;AT130;92201;2211;2;5705;245;110;95;153;59;31;97;83;59;700;4073;20110101
AT1;AT13;AT130;92201;2212;2;1732;69;88;30;33;11;12;9;33;11;239;1197;20110101
AT1;AT13;AT130;92201;2213;2;3410;138;86;55;65;29;23;35;50;19;319;2591;20110101
AT1;AT13;AT130;92201;2214;2;2661;49;25;47;38;9;6;11;34;12;129;2301;20110101
AT1;AT13;AT130;92201;2215;2;4644;193;181;85;92;42;16;40;75;51;329;3540;20110101
AT1;AT13;AT130;92201;2216;2;607;21;12;9;9;6;0;1;9;4;38;498;20110101
AT1;AT13;AT130;92201;2217;2;622;12;3;9;12;1;3;6;7;6;44;519;20110101
AT1;AT13;AT130;92201;2218;2;2657;77;44;30;58;19;18;19;45;13;184;2150;20110101
AT1;AT13;AT130;92201;2219;2;2915;184;86;56;57;42;27;52;40;26;260;2085;20110101
AT1;AT13;AT130;92201;2220;2;1453;55;58;29;17;10;5;17;22;10;176;1054;20110101
AT1;AT13;AT130;92201;2221;2;574;28;4;9;9;3;2;0;8;5;42;464;20110101
AT1;AT13;AT130;92201;2222;2;3439;72;19;49;233;29;16;32;54;13;305;2617;20110101
AT1;AT13;AT130;92201;2223;2;2226;72;23;37;37;12;6;10;22;22;267;1718;20110101
AT1;AT13;AT130;92201;2224;2;2967;44;14;53;122;25;14;28;36;27;241;2363;20110101
AT1;AT13;AT130;92201;2225;2;980;14;2;20;11;2;3;4;17;13;53;841;20110101
AT1;AT13;AT130;92201;2226;2;1891;32;1;56;25;3;3;13;28;18;142;1570;20110101
AT1;AT13;AT130;92201;2227;2;3213;50;16;73;54;11;14;21;35;22;250;2667;20110101
AT1;AT13;AT130;92201;2228;2;1821;55;15;29;42;14;13;10;18;14;137;1474;20110101
AT1;AT13;AT130;92201;2229;2;1785;60;28;44;29;8;7;14;25;11;170;1389;20110101
AT1;AT13;AT130;92201;2230;2;7;0;0;0;0;0;0;0;0;0;2;5;20110101
AT1;AT13;AT130;92201;2231;2;46;0;0;1;1;1;0;0;1;0;1;41;20110101
AT1;AT13;AT130;92201;2232;2;2153;81;31;51;134;65;29;22;21;16;524;1179;20110101
AT1;AT13;AT130;92201;2299;2;415;7;5;10;4;3;0;3;2;4;19;358;20110101
AT1;AT13;AT130;92301;2301;2;1206;67;14;26;18;18;12;26;17;6;111;891;20110101
AT1;AT13;AT130;92301;2302;2;2229;151;36;38;56;53;41;43;32;22;180;1577;20110101
AT1;AT13;AT130;92301;2303;2;1854;54;24;38;20;11;6;20;25;10;111;1535;20110101
AT1;AT13;AT130;92301;2304;2;4053;145;115;46;98;145;69;50;41;40;317;2987;20110101
AT1;AT13;AT130;92301;2305;2;4657;183;170;100;123;65;40;48;44;38;376;3470;20110101
AT1;AT13;AT130;92301;2306;2;483;31;5;10;9;4;5;4;3;2;28;382;20110101
AT1;AT13;AT130;92301;2307;2;4535;240;149;82;85;73;63;61;51;31;353;3347;20110101
AT1;AT13;AT130;92301;2308;2;2283;66;40;44;40;13;18;20;40;19;143;1840;20110101
AT1;AT13;AT130;92301;2309;2;3701;100;50;133;51;38;18;28;79;32;213;2959;20110101
